"rule_id","title","status","expected_reference","actual","evidence","reviewer","issue","checked_at"
"R18","Tài nguyên không tăng vô hạn","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R18","","","","",""
"R19","Sử dụng dài hạn","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R19","","","","",""
"R20","Mất mạng không mất sự thật","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R20","","","","",""
"R21","Build tái tạo và regression đầy đủ","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R21","Partial: build 585c-bVPJ9w1auuscamXU, 44 unit and 8 targeted browser cases pass; full release regression pending.","../../qa/realm-3d/navigation-clarity/REPORT.md","","",""
"R22","Đồng bộ đủ nhanh","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R22","","","","",""
"R23","Voice/screen share hoạt động thật","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R23","","","","",""
"R24","Mute, quyền vào phòng và reconnect đúng","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R24","","","","",""
"R25","Phủ toàn bộ công năng đã có","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R25","","","","",""
"R26","Receipt và quyền là nguồn sự thật","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R26","","","","",""
"R27","Từ thế giới tới công việc và trở lại","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R27","Partial: archive open/close works on desktop/mobile emulation; other task/save/concurrency cases not assessed here.","../../qa/realm-3d/medieval-g1/REPORT.md","","",""
"R28","Đọc được trên thiết bị hỗ trợ","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R28","","","","",""
"R29","Không phụ thuộc vận động chính xác","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R29","","","","",""
"R30","Thông tin âm thanh có đường thay thế","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R30","","","","",""
"R31","Âm thanh theo nguồn và chất nền","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R31","","","","",""
"R32","Mix phục vụ làm việc","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R32","","","","",""
"R33","Hiệu ứng có nguyên nhân","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R33","","","","",""
"R34","Bằng chứng khớp sản phẩm được giao","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R34","","","","",""
"R35","Phát hành và hỗ trợ có đường lui","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R35","","","","",""
"R36","Review có người chịu trách nhiệm","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R36","","","","",""
